code,number,name,description,type,fuel bed depth,dead fuel moisture of extinction,characteristic sav,bulk density,relative packing ratio
NB1,91,Urban,Non burnable.,none,0,0,0,0,0
NB2,92,Snow/Ice,Non burnable.,none,0,0,0,0,0
NB3,93,Agriculture,Non burnable.,none,0,0,0,0,0
NB8,98,Water,Non burnable.,none,0,0,0,0,0
NB9,99,Barren,Non burnable.,none,0,0,0,0,0
GR1,101,"Short, sparse, dry climate grass","Short, sparse dry climate grass is short, naturally or heavy grazing, predicted rate of fire spread and flame length low.",Dynamic,0.4,0.15,2054,0.05,0.22
GR2,102,"Low load, dry climate grass","Low load, dry climate grass primarily grass with some small amounts of fine, dead fuel, any shrubs do not affect fire behavior.",Dynamic,1,0.15,1820,0.05,0.22
GR3,103,"Low load, very coarse, humid climate grass","Low load, very coarse, humid climate grass continuous, coarse humid climate grass, any shrubs do not affect fire behavior.",Dynamic,2,0.3,1290,0.05,0.15
GR4,104,"Moderate load, humid climate grass","Moderate load, dry climate grass, continuous, dry climate grass, fuelbed depth about 2 feet.",Dynamic,2,0.15,1826,0.05,0.22
GR5,105,"High load, dry climate grass","Low load, humid climate grass, fuelbed depth is about 1-2 feet.",Dynamic,1.5,0.4,1631,0.09,0.35
GR6,106,"High load, very coarse, humid climate grass","Moderate load, continuous humid climate grass, not so coarse as GR5.",Dynamic,1.5,0.4,2006,0.11,0.51
GR7,107,"High load, dry climate grass","High load, continuous dry climate grass, grass is about 3 feet high.",Dynamic,3,0.15,1834,0.1,0.43
GR8,108,"High load, very coarse, humid climate grass","High load, very coarse, continuous, humid climate grass, spread rate and flame length may be extreme if grass is fully cured.",Dynamic,4,0.3,1302,0.1,0.33
GR9,109,"Very high load, humid climate grass","Very high load, dense, tall, humid climate grass, about 6 feet tall, spread rate and flame length can be extreme if grass is fully cured.",Dynamic,5,0.4,1612,0.1,0.4
GS1,121,"Low load, dry climate grass-shrub","Low load, dry climate grass-shrub shrub about 1 foot high, grass load low, spread rate moderate and flame length low.",Dynamic,0.9,0.15,1832,0.07,0.3
GS2,122,"Moderate load, dry climate grass-shrub","Moderate load, dry climate grass-shrub, shrubs are 1-3 feet high, grass load moderate, spread rate high, and flame length is moderate.",Dynamic,1.5,0.15,1827,0.08,0.35
GS3,123,"Moderate load, humid climate grass-shrub","Moderate load, humid climate grass-shrub, moderate grass/shrub load, grass/shrub depth is less than 2 feet, spread rate is high and flame length is moderate.",Dynamic,1.8,0.4,1614,0.08,0.33
GS4,124,"High load, humid climate grass-shrub","High load, humid climate grass-shrub, heavy grass/shrub load, depth is greater than 2 feet, spread rate is high and flame length very high.",Dynamic,2.1,0.4,1631,0.28,1.12
SH1,141,"Low load, dry climate shrub","Low load dry climate shrub, woody shrubs and shrub litter, fuelbed depth about 1 foot, may be some grass, spread rate and flame low.",Dynamic,1,0.15,1674,0.09,0.36
SH2,142,"Moderate load, dry climate shrub","Moderate load dry climate shrub, woody shrubs and shrub litter, fuelbed depth about 1 foot, no grass, spread rate and flame low.",Static,1,0.15,1672,0.38,1.56
SH3,143,"Moderate load, humid climate shrub","Moderate load, humid climate shrub, woody shrubs and shrub litter, possible pine overstory, fuelbed depth 2- 3 feet, spread rate and flame low.",Static,2.4,0.4,1371,0.18,0.64
SH4,144,"Low load, humid climate timber-shrub","Low load, humid climate timber shrub, woody shrubs and shrub litter, low to moderate load, possible pine overstory, fuelbed depth about 3 feet, spread rate high and flame moderate.",Static,3,0.3,1682,0.07,0.3
SH5,145,"High load, dry climate shrub","High load, humid climate grass-shrub combined, heavy load with depth greater than 2 feet, spread rate and flame very high.",Static,6,0.15,1252,0.07,0.21
SH6,146,"Low load, humid climate shrub","Low load, humid climate shrub, woody shrubs and shrub litter, dense shrubs, little or no herbaceous fuel, depth about 2 feet, spread rate and flame high.",Static,2,0.3,1144,0.13,0.39
