code,number,1-hr,10-hr,100-hr,live_herb,live_woody
NB0,0,0.0,0.0,0.0,0.0,0.0
NB1,91,0.0,0.0,0.0,0.0,0.0
NB2,92,0.0,0.0,0.0,0.0,0.0
NB3,93,0.0,0.0,0.0,0.0,0.0
NB8,98,0.0,0.0,0.0,0.0,0.0
NB9,99,0.0,0.0,0.0,0.0,0.0
GR1,101,0.1,0,0,0.3,0
GR2,102,0.1,0,0,1,0
GR3,103,0.1,0.4,0,1.5,0
GR4,104,0.25,0,0,1.9,0
GR5,105,0.4,0,0,2.5,0
GR6,106,0.1,0,0,3.4,0
GR7,107,1,0,0,5.4,0
GR8,108,0.5,1,0,7.3,0
GR9,109,1,1,0,9,0
GS1,121,0.2,0,0,0.5,0.65
GS2,122,0.5,0.5,0,0.6,1
GS3,123,0.3,0.25,0,1.45,1.25
GS4,124,1.9,0.3,0.1,3.4,7.1
SH1,141,0.25,0.25,0,0.15,1.3
SH2,142,1.35,2.4,0.75,0,3.85
SH3,143,0.45,3,0,0,6.2
SH4,144,0.85,1.15,0.2,0,2.55
SH5,145,3.6,2.1,0,0,2.9
SH6,146,2.9,1.45,0,0,1.4
SH7,147,3.5,5.3,2.2,0,3.4
SH8,148,2.05,3.4,0.85,0,4.35
SH9,149,4.5,2.45,0,1.55,7
TU1,161,0.2,0.9,1.5,0.2,0.9
TU2,162,0.95,1.8,1.25,0,0.2
TU3,163,1.1,0.15,0.25,0.65,1.1
TU4,164,4.5,0,0,0,2
TU5,165,4,4,3,0,3
TL1,181,1,2.2,3.6,0,0
TL2,182,1.4,2.3,2.2,0,0
TL3,183,0.5,2.2,2.8,0,0
TL4,184,0.5,1.5,4.2,0,0
TL5,185,1.15,2.5,4.4,0,0
TL6,186,2.4,1.2,1.2,0,0
TL7,187,0.3,1.4,8.1,0,0
TL8,188,5.8,1.4,1.1,0,0
TL9,189,6.65,3.3,4.15,0,0
SB1,201,1.5,3,11,0,0
SB2,202,4.5,4.25,4,0,0
SB3,203,5.5,2.75,3,0,0
SB4,204,5.25,3.5,5.25,0,0
